"Service",  "Name",             "Username",                    "Password",                      "Hostname",            "Port",      "Security"
"SMTP",     "Daija Hackett",    "daija.hackett@ethereal.email","nh6FX2A6p1tQkJnhTS",            "smtp.ethereal.email",  587,        "STARTTLS"






"IMAP",     "Daija Hackett","daija.hackett@ethereal.email","nh6FX2A6p1tQkJnhTS","imap.ethereal.email",993,"TLS"




"POP3",     "Daija Hackett","daija.hackett@ethereal.email","nh6FX2A6p1tQkJnhTS","pop3.ethereal.email",995,"TLS"
